date,permno,prc,ret,vol,shrout,bid,ask,ticker,market_cap,spread
2021-05-28,14593,124.61,-0.005348,71234781.0,16687631.0,124.61,124.63,NVDA,2079445698.91,0.01999999999999602
2021-06-01,14593,124.28,-0.002648,67592932.0,16687631.0,124.29,124.3,NVDA,2073938780.68,0.009999999999990905
2021-06-02,14593,125.06,0.006276,59257915.0,16687631.0,125.07,125.09,NVDA,2086955132.8600001,0.020000000000010232
2021-06-03,14593,123.54,-0.012154,76181492.0,16687631.0,123.54,123.55,NVDA,2061589933.74,0.009999999999990905
2021-06-04,14593,125.89,0.019022,75120692.0,16687631.0,125.88,125.89,NVDA,2100805866.59,0.010000000000005116
2021-06-07,14593,125.9,7.9e-05,71020914.0,16687631.0,125.9,125.91,NVDA,2100972742.9,0.009999999999990905
2021-06-08,14593,126.74,0.006672,74349190.0,16687631.0,126.74,126.75,NVDA,2114990352.9399998,0.010000000000005116
2021-06-09,14593,127.13,0.003077,56857821.0,16687631.0,127.16,127.17,NVDA,2121498529.03,0.010000000000005116
2021-06-10,14593,126.11,-0.008023,71146464.0,16687631.0,126.11,126.12,NVDA,2104477145.41,0.010000000000005116
2021-06-11,14593,127.35,0.009833,53473755.0,16687631.0,127.35,127.36,NVDA,2125169807.85,0.010000000000005116
2021-06-14,14593,130.48,0.024578,96888867.0,16687631.0,130.48,130.49001,NVDA,2177402092.8799996,0.010010000000022501
2021-06-15,14593,129.64,-0.006438,62712410.0,16687631.0,129.74001,129.75,NVDA,2163384482.8399997,0.009989999999987731
2021-06-16,14593,130.14999,0.003934,91785628.0,16687631.0,130.14,130.14999,NVDA,2171895007.77369,0.009990000000016153
2021-06-17,14593,131.78999,0.012601,96651607.0,16687631.0,131.78,131.78999,NVDA,2199262722.61369,0.009989999999987731
2021-06-18,14593,130.46001,-0.010092,108884951.0,16687631.0,130.39999,130.42,NVDA,2177068507.13631,0.020009999999984984
2021-06-21,14593,132.3,0.014104,79620300.0,16687631.0,132.28999,132.3,NVDA,2207773581.3,0.010010000000022501
2021-06-22,14593,133.98,0.012698,74742961.0,16687631.0,133.97,133.98,NVDA,2235808801.3799996,0.009999999999990905
2021-06-23,14593,133.7,-0.00209,60199807.0,16687631.0,133.69,133.7,NVDA,2231136264.7,0.009999999999990905
2021-06-24,14593,133.41,-0.002169,68756931.0,16687631.0,133.39,133.39999,NVDA,2226296851.71,0.009990000000016153
2021-06-25,14593,133.11,-0.002249,70747292.0,16556942.0,133.10001,133.12,NVDA,2203894549.6200004,0.019990000000007058
2021-06-28,14593,134.78,0.012546,62087450.0,16556942.0,134.74001,134.75,NVDA,2231544642.76,0.009989999999987731
2021-06-29,14593,136.33,0.0115,64595415.0,16556942.0,136.32001,136.33,NVDA,2257207902.86,0.009990000000016153
2021-06-30,14593,136.96001,0.004621,63214977.0,16556942.0,136.92,136.94,NVDA,2267638941.88942,0.020000000000010232
2021-07-01,14593,137.27,0.002263,52462270.0,16556942.0,137.27,137.28,NVDA,2272771428.34,0.009999999999990905
2021-07-02,14593,139.96001,0.019596,78938035.0,16556942.0,139.92,139.96001,NVDA,2317309767.88942,0.04001000000002364
2021-07-06,14593,142.02,0.014719,108088222.0,16556942.0,142.00999,142.02,NVDA,2351416902.84,0.010010000000022501
2021-07-07,14593,144.57001,0.017955,104833605.0,16556942.0,144.58,144.60001,NVDA,2393637270.50942,0.020009999999984984
2021-07-08,14593,143.24001,-0.0092,105674698.0,16556942.0,143.31,143.32001,NVDA,2371616537.6494203,0.01000999999999408
2021-07-09,14593,145.11,0.013055,99822968.0,16556942.0,145.08,145.11,NVDA,2402577853.6200004,0.030000000000001137
2021-07-12,14593,144.5,-0.004204,76237203.0,16556942.0,144.5,144.50999,NVDA,2392478119.0,0.009989999999987731
2021-07-13,14593,145.64,0.007889,100780097.0,16556942.0,145.67999,145.7,NVDA,2411353032.8799996,0.020009999999984984
2021-07-14,14593,149.14999,0.024101,126884309.0,16556942.0,149.21001,149.22,NVDA,2469467733.73058,0.009989999999987731
2021-07-15,14593,148.48,-0.004492,106631716.0,16556942.0,148.47,148.48,NVDA,2458374748.16,0.009999999999990905
2021-07-16,14593,146.39,-0.014076,93174841.0,16530166.0,146.36,146.39,NVDA,2419851000.74,0.029999999999972715
2021-07-19,14593,142.45,-0.026914,121334242.0,16530166.0,142.52,142.53,NVDA,2354722146.7,0.009999999999990905
2021-07-20,14593,146.14999,0.025974,96948375.0,16530166.0,146.14,146.14999,NVDA,2415883595.59834,0.009990000000016153
2021-07-21,14593,145.39999,-0.005132,74917788.0,16530166.0,145.39,145.39999,NVDA,2403485971.09834,0.009990000000016153
2021-07-22,14593,146.8,0.009629,77295890.0,16530166.0,146.78999,146.8,NVDA,2426628368.8,0.010010000000022501
2021-07-23,14593,148.56,0.011989,71381299.0,16530166.0,148.56,148.57001,NVDA,2455721460.96,0.01000999999999408
2021-07-26,14593,148.99001,0.002895,72377991.0,16530166.0,148.98,149.0,NVDA,2462829597.64166,0.020000000000010232
2021-07-27,14593,146.77,-0.0149,104694666.0,16530166.0,146.78,146.81,NVDA,2426132463.82,0.030000000000001137
2021-07-28,14593,144.98,-0.012196,118770829.0,16530166.0,144.98,144.99001,NVDA,2396543466.68,0.010010000000022501
2021-07-29,14593,145.64,0.004552,56645669.0,16530166.0,145.61,145.63,NVDA,2407453376.24,0.01999999999998181
2021-07-30,14593,145.86,0.001511,70363631.0,16530166.0,145.86,145.92999,NVDA,2411090012.76,0.06998999999999
2021-08-02,14593,145.52,-0.002331,62783650.0,16530166.0,145.50999,145.52,NVDA,2405469756.32,0.010010000000022501
2021-08-03,14593,147.36,0.012644,64747454.0,16530166.0,147.34,147.36,NVDA,2435885261.76,0.020000000000010232
2021-08-04,14593,146.95,-0.002782,56341525.0,16530166.0,146.94,146.95,NVDA,2429107893.7,0.009999999999990905
